Film,Comedy,Drama,Romantic,Animation,Romance,Fantasy,Action,Adventure,Fiction,Science,Thriller,Crime,Family,Lead Studio,Audience score %,Profitability,Rotten Tomatoes %,Worldwide Gross,index,rating_J,rating_H
Dear John,0,1,1,0,0,0,0,0,0,0,0,0,0,Sony,66,4.5988,29,$114.97,46,1,0
Just Wright,1,0,0,0,0,0,0,0,0,0,0,0,0,Fox,58,1.797416667,45,$21.57,37,1,0
Not Easily Broken,0,1,0,0,0,0,0,0,0,0,0,0,0,Independent,66,2.14,34,$10.70,29,1,0
Gnomeo and Juliet,1,0,1,1,0,0,0,0,0,0,0,0,0,Disney,52,5.387972222,56,$193.97,43,1,0
The Fallout,0,1,0,0,0,0,0,0,0,0,0,0,0,Warner Bros,75,6.2,50,$23,49,0,1
Youth in Revolt,1,1,1,0,0,0,0,0,0,0,0,0,0,The Weinstein Company,52,1.09,68,$19.62,1,1,0
Tangled,1,0,0,0,0,1,0,1,0,0,0,0,0,Disney,88,1.365692308,89,$355.01,21,1,1
You Will Meet a Tall Dark Stranger,1,1,0,0,0,0,0,0,0,0,0,0,0,Independent,35,1.211818182,43,$26.66,2,0,0
Spider-Man,0,0,0,0,0,1,1,1,0,0,0,0,0,Columbia Pictures,44,2.1,33,$44,52,1,1
It's Complicated,1,0,0,0,0,0,0,0,0,0,0,0,0,Universal,63,2.642352941,56,$224.60,39,1,0
License to Wed,1,0,0,0,0,0,0,0,0,0,0,0,0,Warner Bros,55,1.9802064,8,$69.31,35,1,0
She's Out of My League,1,0,1,0,0,0,0,0,0,0,0,0,0,Paramount,60,2.4405,57,$48.81,23,1,0
Green Bones,0,1,0,0,0,0,0,0,0,0,0,0,0,Columbia Pictures,11,3.1,33,$22,54,0,1
Why Did I get Married,1,1,0,0,0,0,0,0,0,0,0,0,0,Independent,47,3.7241924,46,$55.86,10,0,0
Something Borrowed,1,0,1,0,0,0,0,0,0,0,0,0,0,Independent,48,1.719514286,15,$60.18,22,1,0
The Duchess,0,1,0,0,0,0,0,0,0,0,0,0,0,Paramount,68,3.207850222,60,$43.31,18,1,0
The Contractor,0,0,0,0,0,0,1,0,0,0,1,0,0,Paramount Pictures,7,2.1,5,$22,57,0,1
Jane Eyre,0,1,1,0,0,0,0,0,0,0,0,0,0,Universal,77,0.0,85,$30.15,38,1,0
The Back-up Plan,1,0,1,0,0,0,0,0,0,0,0,0,0,CBS,47,2.202571429,20,$77.09,20,0,1
Waitress,0,0,0,0,1,0,0,0,0,0,0,0,0,Independent,67,11.0897415,89,$22.18,7,0,0
He's Just Not That Into You,1,0,0,0,0,0,0,0,0,0,0,0,0,Warner Bros,60,7.1536,42,$178.84,42,0,0
The Time Traveler's Wife,0,1,0,0,0,0,0,0,0,0,0,0,0,Paramount,65,2.598205128,38,$101.33,14,0,0
One Day,0,0,0,0,1,0,0,0,0,0,0,0,0,Independent,54,3.682733333,37,$55.24,28,1,0
Superman Returns,0,0,0,0,0,1,1,1,1,1,0,0,0,Warner Bros,22,5.5,67,$11,51,0,1
